Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
11:54:44,2022-10-07,7937917609.0,2485355071.0,4699.96,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
20:24:12,2023-12-28,ACC445832,ACC135322,2451.3348634707727,UK pounds,US dollar,Japan,UK,Cross-border,1.0,Normal_Small_Fan_Out
11:42:35,2022-10-07,3241181026.0,6494203450.0,1389.33,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
18:58:07,2023-02-10,ACC162536,ACC888323,4994.506709445235,UK pounds,Indian rupee,UK,USA,Debit card,1.0,Normal_Small_Fan_Out
13:53:29,2022-10-07,8952177221.0,4447848214.0,8008.48,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
11:15:13,2022-10-07,7758268667.0,7889074144.0,26492.0,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_Out
16:43:01,2023-10-05,ACC339320,ACC614941,7892.760615365447,UK pounds,Indian rupee,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
19:10:03,2023-08-24,ACC195657,ACC528295,-2149.849295413912,UK pounds,UK pounds,UK,UK,Cheque,1.0,Normal_Small_Fan_Out
18:17:51,2023-10-26,ACC374193,ACC266168,7969.419349537977,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
01:29:32,2022-12-29,ACC338151,ACC415601,6130.689513067389,UK pounds,US dollar,UK,Nigeria,Cash Deposit,1.0,Normal_Small_Fan_Out
09:18:40,2022-04-24,ACC577626,ACC166756,-6134.232584070322,Yen,UK pounds,UK,India,Cash Deposit,1.0,Normal_Small_Fan_Out
23:26:38,2023-02-16,ACC194943,ACC462463,-3107.30077843078,UK pounds,UK pounds,Japan,USA,Cross-border,1.0,Normal_Small_Fan_Out
11:45:00,2023-01-31,ACC885983,ACC440257,16621.27747409082,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
14:05:06,2022-05-13,ACC656476,ACC380748,-3854.752015999743,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
12:39:15,2022-10-07,51167102.0,9611218127.0,2787.91,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:15:51,2022-10-07,675669049.0,4348868412.0,7312.72,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_Out
15:38:03,2022-10-07,7258656047.0,1377603863.0,10228.12,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
10:48:58,2022-10-07,6726011110.0,9509095598.0,2998.96,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
09:17:28,2023-03-27,ACC911194,ACC591733,7622.105439108365,UK pounds,UK pounds,UK,USA,Cash Withdrawal,1.0,Normal_Small_Fan_Out
14:37:17,2022-10-07,1359170155.0,3291329620.0,7901.96,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
12:31:26,2022-10-07,9337018014.0,3079818547.0,7786.97,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
13:42:54,2022-10-07,8405704414.0,6137362886.0,4595.02,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
15:27:11,2022-10-07,9077332834.0,9694660801.0,1087.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:55:08,2022-10-07,7700588772.0,9105769228.0,6549.81,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Fan_In
12:51:01,2022-10-07,5894944078.0,6809988965.0,5264.91,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
13:56:28,2022-10-07,6606414227.0,3266531987.0,4806.57,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Foward
04:16:43,2022-04-04,ACC467777,ACC461887,14090.005649283328,UK pounds,UK pounds,UK,USA,Cash Withdrawal,1.0,Normal_Small_Fan_Out
15:35:52,2022-10-07,2056215656.0,4183747352.0,3435.56,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
02:53:07,2022-03-18,ACC604677,ACC670160,5759.676513585388,UK pounds,UK pounds,UK,USA,Debit card,1.0,Normal_Small_Fan_Out
12:48:19,2022-10-07,9941194188.0,8518184956.0,20734.14,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Fan_In
11:19:56,2022-10-07,4233653992.0,2224626267.0,325.21,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
12:22:52,2022-10-07,3168071582.0,9958510480.0,40496.54,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Mutual
12:47:47,2022-10-07,5027448664.0,393509754.0,7283.77,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
14:25:36,2022-10-07,756820945.0,5484763398.0,335.68,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0.0,Normal_Cash_Withdrawal
18:27:47,2022-03-01,ACC477078,ACC877581,2341.556920517441,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
00:46:54,2022-06-22,ACC427350,ACC553707,5663.082541164744,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
16:30:06,2022-10-07,8728810272.0,1710473934.0,387.17,UK pounds,UK pounds,UK,UK,Debit card,0.0,Normal_Small_Fan_Out
11:39:34,2022-10-07,6176317543.0,8241405397.0,1179.65,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Small_Fan_Out
22:08:38,2022-06-19,ACC327838,ACC950118,-1610.2887634887238,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1.0,Normal_Small_Fan_Out
16:34:16,2022-10-07,9557745132.0,4122541032.0,622.21,UK pounds,UK pounds,UK,UK,Credit card,0.0,Normal_Small_Fan_Out
13:50:01,2022-04-03,ACC669608,ACC845558,1989.483698413709,UK pounds,Naira,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
17:51:49,2023-09-12,ACC684127,ACC579666,-5850.580482562526,UK pounds,UK pounds,UK,UK,Cross-border,1.0,Normal_Small_Fan_Out
10:43:11,2022-10-07,8405472205.0,8184833329.0,4294.42,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Small_Fan_Out
11:49:59,2022-10-07,1915450576.0,1020934931.0,5215.15,UK pounds,UK pounds,UK,UK,ACH,0.0,Normal_Fan_Out
14:07:55,2022-10-07,7239180502.0,8673917867.0,7050.22,UK pounds,UK pounds,UK,UK,Cheque,0.0,Normal_Fan_In
14:29:38,2022-09-13,ACC476990,ACC566710,11116.077555456524,UK pounds,Indian rupee,UK,Nigeria,Cash Deposit,1.0,Normal_Small_Fan_Out
